Province,Occupation,Gender,Employment
Ontario,"7 Trades, transport and equipment operators and related occupations",Men,1153435
Ontario,"7 Trades, transport and equipment operators and related occupations",Women,125020
Ontario,"8 Natural resources, agriculture and related production occupations",Total,168470
Ontario,"8 Natural resources, agriculture and related production occupations",Men,126660
Ontario,"8 Natural resources, agriculture and related production occupations",Women,41815
Ontario,9 Occupations in manufacturing and utilities,Total,405660
Ontario,9 Occupations in manufacturing and utilities,Men,273785
Ontario,9 Occupations in manufacturing and utilities,Women,131870
Manitoba,0 Legislative and senior management occupations,Total,6705
Manitoba,0 Legislative and senior management occupations,Men,4385
Manitoba,0 Legislative and senior management occupations,Women,2320
Manitoba,"1 Business, finance and administration occupations",Total,115275
Manitoba,"1 Business, finance and administration occupations",Men,35445
Manitoba,"1 Business, finance and administration occupations",Women,79830
Manitoba,2 Natural and applied sciences and related occupations,Total,41015
Manitoba,2 Natural and applied sciences and related occupations,Men,31450
Manitoba,2 Natural and applied sciences and related occupations,Women,9565
Manitoba,21301 Mechanical engineers,Total,1415
Manitoba,21301 Mechanical engineers,Men,1300
Manitoba,21301 Mechanical engineers,Women,120
Manitoba,21310 Electrical and electronics engineers,Total,1085
Manitoba,21310 Electrical and electronics engineers,Men,935
Manitoba,21310 Electrical and electronics engineers,Women,150
Manitoba,21311 Computer engineers (except software engineers and designers),Total,425
Manitoba,21311 Computer engineers (except software engineers and designers),Men,400
Manitoba,21311 Computer engineers (except software engineers and designers),Women,30
Manitoba,3 Health occupations,Total,61660
Manitoba,3 Health occupations,Men,13445
Manitoba,3 Health occupations,Women,48215
Manitoba,31301 Registered nurses and registered psychiatric nurses,Total,14325
Manitoba,31301 Registered nurses and registered psychiatric nurses,Men,1630
Manitoba,31301 Registered nurses and registered psychiatric nurses,Women,12695
Manitoba,31302 Nurse practitioners,Total,240
Manitoba,31302 Nurse practitioners,Men,35
Manitoba,31302 Nurse practitioners,Women,205
Manitoba,32101 Licensed practical nurses,Total,2430
Manitoba,32101 Licensed practical nurses,Men,305
Manitoba,32101 Licensed practical nurses,Women,2125
Manitoba,"33102 Nurse aides, orderlies and patient service associates",Total,17730
Manitoba,"33102 Nurse aides, orderlies and patient service associates",Men,3350
Manitoba,"33102 Nurse aides, orderlies and patient service associates",Women,14380
Manitoba,"4 Occupations in education, law and social, community and government services",Total,100315
Manitoba,"4 Occupations in education, law and social, community and government services",Men,33095
Manitoba,"4 Occupations in education, law and social, community and government services",Women,67220
Manitoba,40040 Commissioned police officers and related occupations in public protection services,Total,45
Manitoba,40040 Commissioned police officers and related occupations in public protection services,Men,40
Manitoba,40040 Commissioned police officers and related occupations in public protection services,Women,0
Manitoba,4131 Police investigators and probation officers,Total,435
Manitoba,4131 Police investigators and probation officers,Men,215
Manitoba,4131 Police investigators and probation officers,Women,215
Manitoba,41310 Police investigators and other investigative occupations,Total,145
Manitoba,41310 Police investigators and other investigative occupations,Men,125
Manitoba,41310 Police investigators and other investigative occupations,Women,15
Manitoba,42100 Police officers (except commissioned),Total,2805
Manitoba,42100 Police officers (except commissioned),Men,2305
Manitoba,42100 Police officers (except commissioned),Women,495
Manitoba,42101 Firefighters,Total,1205
Manitoba,42101 Firefighters,Men,1125
Manitoba,42101 Firefighters,Women,80
Manitoba,"5 Occupations in art, culture, recreation and sport",Total,17845
Manitoba,"5 Occupations in art, culture, recreation and sport",Men,7875
Manitoba,"5 Occupations in art, culture, recreation and sport",Women,9970
Manitoba,6 Sales and service occupations,Total,179225
Manitoba,6 Sales and service occupations,Men,78815
Manitoba,6 Sales and service occupations,Women,100410
Manitoba,"7 Trades, transport and equipment operators and related occupations",Total,134415
Manitoba,"7 Trades, transport and equipment operators and related occupations",Men,124430
Manitoba,"7 Trades, transport and equipment operators and related occupations",Women,9990
Manitoba,"8 Natural resources, agriculture and related production occupations",Total,33805
Manitoba,"8 Natural resources, agriculture and related production occupations",Men,26205
Manitoba,"8 Natural resources, agriculture and related production occupations",Women,7600
Manitoba,9 Occupations in manufacturing and utilities,Total,36865
Manitoba,9 Occupations in manufacturing and utilities,Men,27030
Manitoba,9 Occupations in manufacturing and utilities,Women,9835
Saskatchewan,0 Legislative and senior management occupations,Total,5725
Saskatchewan,0 Legislative and senior management occupations,Men,3360
Saskatchewan,0 Legislative and senior management occupations,Women,2370
Saskatchewan,"1 Business, finance and administration occupations",Total,89410
Saskatchewan,"1 Business, finance and administration occupations",Men,24000
Saskatchewan,"1 Business, finance and administration occupations",Women,65410
Saskatchewan,2 Natural and applied sciences and related occupations,Total,32115
Saskatchewan,2 Natural and applied sciences and related occupations,Men,24340
Saskatchewan,2 Natural and applied sciences and related occupations,Women,7775
Saskatchewan,21301 Mechanical engineers,Total,1015
Saskatchewan,21301 Mechanical engineers,Men,910
Saskatchewan,21301 Mechanical engineers,Women,105
Saskatchewan,21310 Electrical and electronics engineers,Total,895
Saskatchewan,21310 Electrical and electronics engineers,Men,750
Saskatchewan,21310 Electrical and electronics engineers,Women,145
Saskatchewan,21311 Computer engineers (except software engineers and designers),Total,255
Saskatchewan,21311 Computer engineers (except software engineers and designers),Men,225
Saskatchewan,21311 Computer engineers (except software engineers and designers),Women,25
Saskatchewan,3 Health occupations,Total,53175
Saskatchewan,3 Health occupations,Men,8960
Saskatchewan,3 Health occupations,Women,44215
Saskatchewan,31301 Registered nurses and registered psychiatric nurses,Total,13125
Saskatchewan,31301 Registered nurses and registered psychiatric nurses,Men,1025
Saskatchewan,31301 Registered nurses and registered psychiatric nurses,Women,12100
Saskatchewan,31302 Nurse practitioners,Total,215
Saskatchewan,31302 Nurse practitioners,Men,25
Saskatchewan,31302 Nurse practitioners,Women,185
Saskatchewan,32101 Licensed practical nurses,Total,2615
Saskatchewan,32101 Licensed practical nurses,Men,170
Saskatchewan,32101 Licensed practical nurses,Women,2450
Saskatchewan,"33102 Nurse aides, orderlies and patient service associates",Total,14285
Saskatchewan,"33102 Nurse aides, orderlies and patient service associates",Men,1715
Saskatchewan,"33102 Nurse aides, orderlies and patient service associates",Women,12570
Saskatchewan,"4 Occupations in education, law and social, community and government services",Total,77825
Saskatchewan,"4 Occupations in education, law and social, community and government services",Men,24395
Saskatchewan,"4 Occupations in education, law and social, community and government services",Women,53430
Saskatchewan,40040 Commissioned police officers and related occupations in public protection services,Total,45
Saskatchewan,40040 Commissioned police officers and related occupations in public protection services,Men,35
Saskatchewan,40040 Commissioned police officers and related occupations in public protection services,Women,10
Saskatchewan,4131 Police investigators and probation officers,Total,435
Saskatchewan,4131 Police investigators and probation officers,Men,120
Saskatchewan,4131 Police investigators and probation officers,Women,310
Saskatchewan,41310 Police investigators and other investigative occupations,Total,70
Saskatchewan,41310 Police investigators and other investigative occupations,Men,40
Saskatchewan,41310 Police investigators and other investigative occupations,Women,25
Saskatchewan,42100 Police officers (except commissioned),Total,2675
Saskatchewan,42100 Police officers (except commissioned),Men,1950
Saskatchewan,42100 Police officers (except commissioned),Women,725
Saskatchewan,42101 Firefighters,Total,1275
Saskatchewan,42101 Firefighters,Men,1220
Saskatchewan,42101 Firefighters,Women,55
Saskatchewan,"5 Occupations in art, culture, recreation and sport",Total,13075
Saskatchewan,"5 Occupations in art, culture, recreation and sport",Men,4935
Saskatchewan,"5 Occupations in art, culture, recreation and sport",Women,8140
Saskatchewan,6 Sales and service occupations,Total,149310
Saskatchewan,6 Sales and service occupations,Men,63475
Saskatchewan,6 Sales and service occupations,Women,85835
Saskatchewan,"7 Trades, transport and equipment operators and related occupations",Total,114350
Saskatchewan,"7 Trades, transport and equipment operators and related occupations",Men,104545
Saskatchewan,"7 Trades, transport and equipment operators and related occupations",Women,9805
Saskatchewan,"8 Natural resources, agriculture and related production occupations",Total,60220
Saskatchewan,"8 Natural resources, agriculture and related production occupations",Men,46425
Saskatchewan,"8 Natural resources, agriculture and related production occupations",Women,13795
Saskatchewan,9 Occupations in manufacturing and utilities,Total,20580
Saskatchewan,9 Occupations in manufacturing and utilities,Men,16955
Saskatchewan,9 Occupations in manufacturing and utilities,Women,3630
Alberta,0 Legislative and senior management occupations,Total,24445
Alberta,0 Legislative and senior management occupations,Men,17320
Alberta,0 Legislative and senior management occupations,Women,7125
Alberta,"1 Business, finance and administration occupations",Total,403300
Alberta,"1 Business, finance and administration occupations",Men,117240
Alberta,"1 Business, finance and administration occupations",Women,286065
Alberta,2 Natural and applied sciences and related occupations,Total,192305
Alberta,2 Natural and applied sciences and related occupations,Men,147700
Alberta,2 Natural and applied sciences and related occupations,Women,44610
Alberta,21301 Mechanical engineers,Total,8685
Alberta,21301 Mechanical engineers,Men,7650
Alberta,21301 Mechanical engineers,Women,1040
Alberta,21310 Electrical and electronics engineers,Total,7055
Alberta,21310 Electrical and electronics engineers,Men,6110
Alberta,21310 Electrical and electronics engineers,Women,945
Alberta,21311 Computer engineers (except software engineers and designers),Total,2090
Alberta,21311 Computer engineers (except software engineers and designers),Men,1800
Alberta,21311 Computer engineers (except software engineers and designers),Women,290
Alberta,3 Health occupations,Total,193895
Alberta,3 Health occupations,Men,36120
Alberta,3 Health occupations,Women,157780
Alberta,31301 Registered nurses and registered psychiatric nurses,Total,43875
Alberta,31301 Registered nurses and registered psychiatric nurses,Men,3540
Alberta,31301 Registered nurses and registered psychiatric nurses,Women,40335
Alberta,31302 Nurse practitioners,Total,605
Alberta,31302 Nurse practitioners,Men,65
Alberta,31302 Nurse practitioners,Women,535
Alberta,32101 Licensed practical nurses,Total,9805
Alberta,32101 Licensed practical nurses,Men,820
Alberta,32101 Licensed practical nurses,Women,8985
Alberta,"33102 Nurse aides, orderlies and patient service associates",Total,39705
Alberta,"33102 Nurse aides, orderlies and patient service associates",Men,5305
Alberta,"33102 Nurse aides, orderlies and patient service associates",Women,34400
Alberta,"4 Occupations in education, law and social, community and government services",Total,267785
Alberta,"4 Occupations in education, law and social, community and government services",Men,88015
Alberta,"4 Occupations in education, law and social, community and government services",Women,179770
Alberta,40040 Commissioned police officers and related occupations in public protection services,Total,120
Alberta,40040 Commissioned police officers and related occupations in public protection services,Men,60
Alberta,40040 Commissioned police officers and related occupations in public protection services,Women,55
Alberta,4131 Police investigators and probation officers,Total,1050
Alberta,4131 Police investigators and probation officers,Men,500
Alberta,4131 Police investigators and probation officers,Women,550
Alberta,41310 Police investigators and other investigative occupations,Total,395
Alberta,41310 Police investigators and other investigative occupations,Men,310
Alberta,41310 Police investigators and other investigative occupations,Women,80
Alberta,42100 Police officers (except commissioned),Total,9790
Alberta,42100 Police officers (except commissioned),Men,7685
Alberta,42100 Police officers (except commissioned),Women,2110
Alberta,42101 Firefighters,Total,5050
Alberta,42101 Firefighters,Men,4755
Alberta,42101 Firefighters,Women,295
Alberta,"5 Occupations in art, culture, recreation and sport",Total,59950
Alberta,"5 Occupations in art, culture, recreation and sport",Men,24240
Alberta,"5 Occupations in art, culture, recreation and sport",Women,35710
Alberta,6 Sales and service occupations,Total,601000
Alberta,6 Sales and service occupations,Men,255480
Alberta,6 Sales and service occupations,Women,345515
Alberta,"7 Trades, transport and equipment operators and related occupations",Total,477810
Alberta,"7 Trades, transport and equipment operators and related occupations",Men,430740
Alberta,"7 Trades, transport and equipment operators and related occupations",Women,47060
Alberta,"8 Natural resources, agriculture and related production occupations",Total,111490
Alberta,"8 Natural resources, agriculture and related production occupations",Men,86110
Alberta,"8 Natural resources, agriculture and related production occupations",Women,25375
Alberta,9 Occupations in manufacturing and utilities,Total,90130
Alberta,9 Occupations in manufacturing and utilities,Men,70930
Alberta,9 Occupations in manufacturing and utilities,Women,19200
British Columbia,0 Legislative and senior management occupations,Total,34020
British Columbia,0 Legislative and senior management occupations,Men,23640
British Columbia,0 Legislative and senior management occupations,Women,10380
British Columbia,"1 Business, finance and administration occupations",Total,484985
British Columbia,"1 Business, finance and administration occupations",Men,148070
British Columbia,"1 Business, finance and administration occupations",Women,336915
British Columbia,2 Natural and applied sciences and related occupations,Total,220820
British Columbia,2 Natural and applied sciences and related occupations,Men,167105
British Columbia,2 Natural and applied sciences and related occupations,Women,53710
British Columbia,21301 Mechanical engineers,Total,6420
British Columbia,21301 Mechanical engineers,Men,5650
British Columbia,21301 Mechanical engineers,Women,770
British Columbia,21310 Electrical and electronics engineers,Total,6710
British Columbia,21310 Electrical and electronics engineers,Men,5950
British Columbia,21310 Electrical and electronics engineers,Women,765
British Columbia,21311 Computer engineers (except software engineers and designers),Total,2655
British Columbia,21311 Computer engineers (except software engineers and designers),Men,2340
British Columbia,21311 Computer engineers (except software engineers and designers),Women,310
British Columbia,3 Health occupations,Total,212305
British Columbia,3 Health occupations,Men,46305
British Columbia,3 Health occupations,Women,166000
British Columbia,31301 Registered nurses and registered psychiatric nurses,Total,47500
British Columbia,31301 Registered nurses and registered psychiatric nurses,Men,4825
British Columbia,31301 Registered nurses and registered psychiatric nurses,Women,42680
British Columbia,31302 Nurse practitioners,Total,685
British Columbia,31302 Nurse practitioners,Men,50
British Columbia,31302 Nurse practitioners,Women,640
British Columbia,32101 Licensed practical nurses,Total,8485
British Columbia,32101 Licensed practical nurses,Men,1025
British Columbia,32101 Licensed practical nurses,Women,7460
British Columbia,"33102 Nurse aides, orderlies and patient service associates",Total,44420
British Columbia,"33102 Nurse aides, orderlies and patient service associates",Men,6425
British Columbia,"33102 Nurse aides, orderlies and patient service associates",Women,37995
British Columbia,"4 Occupations in education, law and social, community and government services",Total,336840
British Columbia,"4 Occupations in education, law and social, community and government services",Men,111625
British Columbia,"4 Occupations in education, law and social, community and government services",Women,225210
British Columbia,40040 Commissioned police officers and related occupations in public protection services,Total,180
British Columbia,40040 Commissioned police officers and related occupations in public protection services,Men,105
British Columbia,40040 Commissioned police officers and related occupations in public protection services,Women,75
British Columbia,4131 Police investigators and probation officers,Total,1490
British Columbia,4131 Police investigators and probation officers,Men,605
British Columbia,4131 Police investigators and probation officers,Women,885
British Columbia,41310 Police investigators and other investigative occupations,Total,540
British Columbia,41310 Police investigators and other investigative occupations,Men,300
British Columbia,41310 Police investigators and other investigative occupations,Women,245
British Columbia,42100 Police officers (except commissioned),Total,10680
British Columbia,42100 Police officers (except commissioned),Men,8075
British Columbia,42100 Police officers (except commissioned),Women,2605
British Columbia,42101 Firefighters,Total,5000
British Columbia,42101 Firefighters,Men,4715
British Columbia,42101 Firefighters,Women,280
British Columbia,"5 Occupations in art, culture, recreation and sport",Total,125490
British Columbia,"5 Occupations in art, culture, recreation and sport",Men,58695
British Columbia,"5 Occupations in art, culture, recreation and sport",Women,66795
British Columbia,6 Sales and service occupations,Total,750540
British Columbia,6 Sales and service occupations,Men,326530
British Columbia,6 Sales and service occupations,Women,424010
British Columbia,"7 Trades, transport and equipment operators and related occupations",Total,511120
British Columbia,"7 Trades, transport and equipment operators and related occupations",Men,462275
British Columbia,"7 Trades, transport and equipment operators and related occupations",Women,48845
British Columbia,"8 Natural resources, agriculture and related production occupations",Total,83150
British Columbia,"8 Natural resources, agriculture and related production occupations",Men,59185
British Columbia,"8 Natural resources, agriculture and related production occupations",Women,23965
British Columbia,9 Occupations in manufacturing and utilities,Total,96625
British Columbia,9 Occupations in manufacturing and utilities,Men,68625
British Columbia,9 Occupations in manufacturing and utilities,Women,28000
Yukon,0 Legislative and senior management occupations,Total,460
Yukon,0 Legislative and senior management occupations,Men,220
Yukon,0 Legislative and senior management occupations,Women,240
Yukon,"1 Business, finance and administration occupations",Total,4535
Yukon,"1 Business, finance and administration occupations",Men,1065
Yukon,"1 Business, finance and administration occupations",Women,3470
Yukon,2 Natural and applied sciences and related occupations,Total,1725
Yukon,2 Natural and applied sciences and related occupations,Men,1200
Yukon,2 Natural and applied sciences and related occupations,Women,525
Yukon,21301 Mechanical engineers,Total,25
Yukon,21301 Mechanical engineers,Men,15
Yukon,21301 Mechanical engineers,Women,10
Yukon,21310 Electrical and electronics engineers,Total,20
Yukon,21310 Electrical and electronics engineers,Men,20
Yukon,21310 Electrical and electronics engineers,Women,0
Yukon,21311 Computer engineers (except software engineers and designers),Total,10
Yukon,21311 Computer engineers (except software engineers and designers),Men,10
Yukon,21311 Computer engineers (except software engineers and designers),Women,0
Yukon,3 Health occupations,Total,1605
Yukon,3 Health occupations,Men,295
Yukon,3 Health occupations,Women,1310
Yukon,31301 Registered nurses and registered psychiatric nurses,Total,410
Yukon,31301 Registered nurses and registered psychiatric nurses,Men,35
Yukon,31301 Registered nurses and registered psychiatric nurses,Women,380
Yukon,31302 Nurse practitioners,Total,0
Yukon,31302 Nurse practitioners,Men,0
Yukon,31302 Nurse practitioners,Women,0
Yukon,32101 Licensed practical nurses,Total,115
Yukon,32101 Licensed practical nurses,Men,0
Yukon,32101 Licensed practical nurses,Women,115
Yukon,"33102 Nurse aides, orderlies and patient service associates",Total,225
Yukon,"33102 Nurse aides, orderlies and patient service associates",Men,60
Yukon,"33102 Nurse aides, orderlies and patient service associates",Women,165
Yukon,"4 Occupations in education, law and social, community and government services",Total,4810
Yukon,"4 Occupations in education, law and social, community and government services",Men,1585
Yukon,"4 Occupations in education, law and social, community and government services",Women,3225
Yukon,40040 Commissioned police officers and related occupations in public protection services,Total,0
Yukon,40040 Commissioned police officers and related occupations in public protection services,Men,0
Yukon,40040 Commissioned police officers and related occupations in public protection services,Women,0
Yukon,4131 Police investigators and probation officers,Total,40
Yukon,4131 Police investigators and probation officers,Men,20
Yukon,4131 Police investigators and probation officers,Women,15
Yukon,41310 Police investigators and other investigative occupations,Total,15
Yukon,41310 Police investigators and other investigative occupations,Men,10
Yukon,41310 Police investigators and other investigative occupations,Women,0
Yukon,42100 Police officers (except commissioned),Total,155
Yukon,42100 Police officers (except commissioned),Men,120
Yukon,42100 Police officers (except commissioned),Women,35
Yukon,42101 Firefighters,Total,65
Yukon,42101 Firefighters,Men,65
Yukon,42101 Firefighters,Women,0
Yukon,"5 Occupations in art, culture, recreation and sport",Total,925
Yukon,"5 Occupations in art, culture, recreation and sport",Men,415
Yukon,"5 Occupations in art, culture, recreation and sport",Women,510
Yukon,6 Sales and service occupations,Total,5335
Yukon,6 Sales and service occupations,Men,2440
Yukon,6 Sales and service occupations,Women,2895
Yukon,"7 Trades, transport and equipment operators and related occupations",Total,4805
Yukon,"7 Trades, transport and equipment operators and related occupations",Men,4355
Yukon,"7 Trades, transport and equipment operators and related occupations",Women,445
Yukon,"8 Natural resources, agriculture and related production occupations",Total,860
Yukon,"8 Natural resources, agriculture and related production occupations",Men,640
Yukon,"8 Natural resources, agriculture and related production occupations",Women,230
Yukon,9 Occupations in manufacturing and utilities,Total,450
Yukon,9 Occupations in manufacturing and utilities,Men,355
Yukon,9 Occupations in manufacturing and utilities,Women,90
Northwest Territories,0 Legislative and senior management occupations,Total,435
Northwest Territories,0 Legislative and senior management occupations,Men,245
Northwest Territories,0 Legislative and senior management occupations,Women,185
Northwest Territories,"1 Business, finance and administration occupations",Total,4350
Northwest Territories,"1 Business, finance and administration occupations",Men,1105
Northwest Territories,"1 Business, finance and administration occupations",Women,3240
Northwest Territories,2 Natural and applied sciences and related occupations,Total,1545
Northwest Territories,2 Natural and applied sciences and related occupations,Men,1100
Northwest Territories,2 Natural and applied sciences and related occupations,Women,445
Northwest Territories,21301 Mechanical engineers,Total,60
Northwest Territories,21301 Mechanical engineers,Men,55
Northwest Territories,21301 Mechanical engineers,Women,0
Northwest Territories,21310 Electrical and electronics engineers,Total,25
Northwest Territories,21310 Electrical and electronics engineers,Men,15
Northwest Territories,21310 Electrical and electronics engineers,Women,0
Northwest Territories,21311 Computer engineers (except software engineers and designers),Total,0
Northwest Territories,21311 Computer engineers (except software engineers and designers),Men,0
Northwest Territories,21311 Computer engineers (except software engineers and designers),Women,0
Northwest Territories,3 Health occupations,Total,1390
Northwest Territories,3 Health occupations,Men,290
Northwest Territories,3 Health occupations,Women,1100
Northwest Territories,31301 Registered nurses and registered psychiatric nurses,Total,430
Northwest Territories,31301 Registered nurses and registered psychiatric nurses,Men,45
Northwest Territories,31301 Registered nurses and registered psychiatric nurses,Women,380
Northwest Territories,31302 Nurse practitioners,Total,10
Northwest Territories,31302 Nurse practitioners,Men,0
Northwest Territories,31302 Nurse practitioners,Women,15
Northwest Territories,32101 Licensed practical nurses,Total,40
Northwest Territories,32101 Licensed practical nurses,Men,10
Northwest Territories,32101 Licensed practical nurses,Women,35
Northwest Territories,"33102 Nurse aides, orderlies and patient service associates",Total,275
Northwest Territories,"33102 Nurse aides, orderlies and patient service associates",Men,45
Northwest Territories,"33102 Nurse aides, orderlies and patient service associates",Women,225
Northwest Territories,"4 Occupations in education, law and social, community and government services",Total,5040
Northwest Territories,"4 Occupations in education, law and social, community and government services",Men,1925
Northwest Territories,"4 Occupations in education, law and social, community and government services",Women,3115
Northwest Territories,40040 Commissioned police officers and related occupations in public protection services,Total,0
Northwest Territories,40040 Commissioned police officers and related occupations in public protection services,Men,0
Northwest Territories,40040 Commissioned police officers and related occupations in public protection services,Women,0
Northwest Territories,4131 Police investigators and probation officers,Total,60
Northwest Territories,4131 Police investigators and probation officers,Men,30
Northwest Territories,4131 Police investigators and probation officers,Women,30
Northwest Territories,41310 Police investigators and other investigative occupations,Total,20
Northwest Territories,41310 Police investigators and other investigative occupations,Men,20
Northwest Territories,41310 Police investigators and other investigative occupations,Women,0
Northwest Territories,42100 Police officers (except commissioned),Total,225
Northwest Territories,42100 Police officers (except commissioned),Men,155
Northwest Territories,42100 Police officers (except commissioned),Women,70
Northwest Territories,42101 Firefighters,Total,70
Northwest Territories,42101 Firefighters,Men,65
Northwest Territories,42101 Firefighters,Women,0
Northwest Territories,"5 Occupations in art, culture, recreation and sport",Total,605
Northwest Territories,"5 Occupations in art, culture, recreation and sport",Men,250
Northwest Territories,"5 Occupations in art, culture, recreation and sport",Women,360
Northwest Territories,6 Sales and service occupations,Total,5055
Northwest Territories,6 Sales and service occupations,Men,2280
Northwest Territories,6 Sales and service occupations,Women,2780
Northwest Territories,"7 Trades, transport and equipment operators and related occupations",Total,4580
Northwest Territories,"7 Trades, transport and equipment operators and related occupations",Men,4235
Northwest Territories,"7 Trades, transport and equipment operators and related occupations",Women,350
Northwest Territories,"8 Natural resources, agriculture and related production occupations",Total,685
Northwest Territories,"8 Natural resources, agriculture and related production occupations",Men,590
Northwest Territories,"8 Natural resources, agriculture and related production occupations",Women,95
Northwest Territories,9 Occupations in manufacturing and utilities,Total,460
Northwest Territories,9 Occupations in manufacturing and utilities,Men,390
Northwest Territories,9 Occupations in manufacturing and utilities,Women,75
Nunavut,0 Legislative and senior management occupations,Total,280
Nunavut,0 Legislative and senior management occupations,Men,160
Nunavut,0 Legislative and senior management occupations,Women,115
Nunavut,"1 Business, finance and administration occupations",Total,2605
Nunavut,"1 Business, finance and administration occupations",Men,680
Nunavut,"1 Business, finance and administration occupations",Women,1935
Nunavut,2 Natural and applied sciences and related occupations,Total,490
Nunavut,2 Natural and applied sciences and related occupations,Men,375
Nunavut,2 Natural and applied sciences and related occupations,Women,115
Nunavut,21301 Mechanical engineers,Total,10
Nunavut,21301 Mechanical engineers,Men,10
Nunavut,21301 Mechanical engineers,Women,0
Nunavut,21310 Electrical and electronics engineers,Total,0
Nunavut,21310 Electrical and electronics engineers,Men,0
Nunavut,21310 Electrical and electronics engineers,Women,0
Nunavut,21311 Computer engineers (except software engineers and designers),Total,10
Nunavut,21311 Computer engineers (except software engineers and designers),Men,10
Nunavut,21311 Computer engineers (except software engineers and designers),Women,0
Nunavut,3 Health occupations,Total,585
Nunavut,3 Health occupations,Men,90
Nunavut,3 Health occupations,Women,495
Nunavut,31301 Registered nurses and registered psychiatric nurses,Total,160
Nunavut,31301 Registered nurses and registered psychiatric nurses,Men,25
Nunavut,31301 Registered nurses and registered psychiatric nurses,Women,135
Nunavut,31302 Nurse practitioners,Total,0
Nunavut,31302 Nurse practitioners,Men,0
Nunavut,31302 Nurse practitioners,Women,0
Nunavut,32101 Licensed practical nurses,Total,15
Nunavut,32101 Licensed practical nurses,Men,0
Nunavut,32101 Licensed practical nurses,Women,10
Nunavut,"33102 Nurse aides, orderlies and patient service associates",Total,225
Nunavut,"33102 Nurse aides, orderlies and patient service associates",Men,20
Nunavut,"33102 Nurse aides, orderlies and patient service associates",Women,205
Nunavut,"4 Occupations in education, law and social, community and government services",Total,3240
Nunavut,"4 Occupations in education, law and social, community and government services",Men,1040
Nunavut,"4 Occupations in education, law and social, community and government services",Women,2205
Nunavut,40040 Commissioned police officers and related occupations in public protection services,Total,0
Nunavut,40040 Commissioned police officers and related occupations in public protection services,Men,0
Nunavut,40040 Commissioned police officers and related occupations in public protection services,Women,0
Nunavut,4131 Police investigators and probation officers,Total,10
Nunavut,4131 Police investigators and probation officers,Men,0
Nunavut,4131 Police investigators and probation officers,Women,10
Nunavut,41310 Police investigators and other investigative occupations,Total,10
Nunavut,41310 Police investigators and other investigative occupations,Men,0
Nunavut,41310 Police investigators and other investigative occupations,Women,0
Nunavut,42100 Police officers (except commissioned),Total,145
Nunavut,42100 Police officers (except commissioned),Men,120
Nunavut,42100 Police officers (except commissioned),Women,30
Nunavut,42101 Firefighters,Total,35
Nunavut,42101 Firefighters,Men,25
Nunavut,42101 Firefighters,Women,0
Nunavut,"5 Occupations in art, culture, recreation and sport",Total,530
Nunavut,"5 Occupations in art, culture, recreation and sport",Men,235
Nunavut,"5 Occupations in art, culture, recreation and sport",Women,295
Nunavut,6 Sales and service occupations,Total,3825
Nunavut,6 Sales and service occupations,Men,1710
Nunavut,6 Sales and service occupations,Women,2120
Nunavut,"7 Trades, transport and equipment operators and related occupations",Total,3035
Nunavut,"7 Trades, transport and equipment operators and related occupations",Men,2820
Nunavut,"7 Trades, transport and equipment operators and related occupations",Women,215
Nunavut,"8 Natural resources, agriculture and related production occupations",Total,340
Nunavut,"8 Natural resources, agriculture and related production occupations",Men,320
Nunavut,"8 Natural resources, agriculture and related production occupations",Women,25
Nunavut,9 Occupations in manufacturing and utilities,Total,245
Nunavut,9 Occupations in manufacturing and utilities,Men,200
Nunavut,9 Occupations in manufacturing and utilities,Women,40